,Scope,Функціонал /Блок,Епік,Модуль,Вимога,Важливість,Покриття вимоги,Пропозиція по рішенню,Оцінка БА (год),Оцінка Розробників (год),Use Case,Коментарі(Деталі GAP та ризики),Статус реалізації,MVP - Stage 1 - Stage 2 - Нові потреби - Не потрібно - Зміна потреб,Примітки БА,Примітки щодо реалізації з моделем Appoitments,Коментарі та побажання замовника
,11. Бронювання та Планування,Система бронювання (Життєвий цикл),Попереднє бронювання та планування,termi_operations ,Відстеження статусу візиту (життєвий цикл бронювання).,Критично,Розробка,"1. Додати до моделі booking.appointment поле status типу ""Вибір"" (Selection) зі значеннями: 'Заплановано', 'Клієнт прибув', 'В процесі', 'Завершено', 'Скасовано'. 2. Реалізувати логіку зміни статусів:   Вручну через кнопки на формі бронювання.  Автоматично при отриманні сигналу від АСКД (для статусу 'Клієнт прибув').  Статус 'Завершено' має бути тригером для подальших дій (напр., створення рахунку на оплату). Або, щоб зменшити час на розробку придбати та налаштувати модуль https://apps.odoo.com/apps/modules/18.0/business_appointment ",2,8,UC-FR6.6.8,"GAP: Odoo не має вбудованої концепції життєвого циклу для кастомних бронювань. Це ключова бізнес-логіка, яку потрібно розробляти з нуля для управління потоком клієнтів.    Ризик: Некоректна обробка переходів між статусами може призвести до ""завислих"" бронювань (напр., клієнт прийшов, але статус не оновився) або помилок в білінгу (рахунок не створено після завершення послуги). Потрібно чітко визначити тригери та відповідальних за зміну кожного статусу.",Є на стейджі,MVP,,"Частково закривається базовими Appoinments. Для того щоб коректно оцінити скільки часу потрібно на доробки, потрібно дивитись у код. Присутні лише статуси ""Заплановано"", ""Пропущено"", ""Виконано"" та ""Скасовано"". Потрібен статус ""В процесі"" та реалізація Appointment - Visit(UC-FR6.1.*) щоб можна було відслідковувати активні відвідування.",
,12. Звітність та Аналітика,Безпека та Доступи,Звітність / Безпека,"base ir.model.access, ir.rule ",Налаштування прав доступу до звітів та даних.,Критично,Стандартний функціонал,"Використовувати стандартну систему безпеки Odoo:  1. Групи доступу: Створити ролі (напр., ""Менеджер"", ""Бухгалтер"", ""Адміністратор рецепції"").  2. Права доступу до моделей (ACL): Налаштувати, які ролі можуть читати/писати/створювати/видаляти дані в кожній таблиці.  3. Правила записів (Record Rules): Використовувати для обмеження доступу на рівні рядків (напр., менеджер бачить звіти тільки по своєму відділу). ",2,0,UC-FR6.8.4,"GAP: Відсутній. Система прав доступу Odoo є дуже гнучкою.    Ризик: Неправильне або занадто складне налаштування прав може призвести або до витоку конфіденційної інформації, або до того, що користувачі не бачитимуть даних, потрібних для їхньої роботи. Потрібне ретельне проєктування матриці доступу.",Не реалізовано,MVP,,,
,12. Звітність та Аналітика,Звіти з Продажів,Звітність / Продажі,"point_of_sale, sale, termi_reporting ",Формування гнучкого аналітичного звіту з продажів та виторгу.,Критично,Розробка,"Створити кастомне представлення Pivot (зведена таблиця), яке буде агрегувати дані з pos.order та sale.order. Для оптимізації та об'єднання даних про оплати може знадобитися створення SQL View.  1. Виміри: К-сть, Сума, Знижка, Собівартість, Націнка.  2. Розрізи: POS, Товар/Категорія, Співробітник, Клієнт, Дата (рік/місяць/день/година), Тип оплати.  3. Звіти по відмовлених/незакритих чеках реалізуються як окремі спискові звіти з фільтрами.Оцінка надана у рамках створення звітів у xlsx форматі",6,45,US-REP-002,"GAP: Стандартні звіти POS в Odoo Community дуже обмежені і не дозволяють такого рівня гнучкості та деталізації (особливо по типах оплат та націнці в одному звіті).    Ризик: Без оптимізації (напр., через SQL View) звіт може працювати дуже повільно на великих обсягах даних, що зробить його непрактичним для щоденного використання.",Не реалізовано,MVP,,,
,12. Звітність та Аналітика,Фінансові звіти,Звітність / Фінанси,"account, termi_reporting ","Формування ключових фінансових звітів (P&L, Cash Flow).",Критично,Стандартний функціонал,Стандартний функціонал. Оцінка надана у рамках створення звітів у xlsx форматі,"0,5",0,"US-REP-003, US-REP-004",Ризик: Точність звітів на 100% залежить від правильності та повноти ведення бухгалтерського обліку та коректного налаштування Плану рахунків. Будь-яка помилка в проведеннях спотворить фінансовий результат.,Не реалізовано,MVP,,,
,12. Звітність та Аналітика,Звіти по Клієнтах,Звітність / Клієнти та Маркетинг,"contacts, termi_operations ",Формування базових та аналітичних звітів по клієнтській базі.,Дуже важливо,Розробка,"1.Боржники: Реалізується стандартними фільтрами у списку контактів та звіті ""Книга партнера"".  2. Демографія: Розробка кастомного звіту (Graph/Pivot), який буде аналізувати кастомні поля ""Стать"" ""Дата народження"" на картці контакту.  3. Завантаженість, Відвідуваність: Розробка кастомних звітів (Graph/Pivot) на основі кастомної моделі booking.appointment.  4. Абонементи: Розробка кастомного звіту на основі моделі membership. Оцінка надана у рамках створення звітів у xlsx форматі",6,45,US-REP-005,"GAP: Хоча частину даних можна отримати стандартними фільтрами, більшість аналітичних звітів (завантаженість, демографія) є повністю кастомними, оскільки вони базуються на розроблених раніше сутностях (бронювання, абонементи, кастомні поля).    Ризик: Якість аналітики прямо залежить від якості вхідних даних, які вводять адміністратори.",Не реалізовано,MVP,,,
,12. Звітність та Аналітика,Звіти по Складу,Звітність / Склад,"stock, termi_abc_analysis ",Проведення ABC/XYZ аналізу товарів.,Дуже важливо,Розробка,"Створити майстер (wizard), який:  1. Приймає на вхід період та фільтри (категорія, склад).  2. Збирає дані про продажі/рух товарів.  3. Застосовує математичну логіку для розрахунку категорій A/B/C (за обсягом/вартістю) та X/Y/Z (за стабільністю попиту).  4. Відображає результат у вигляді табличного звіту. Звіти по XY частково надається інтеграцією з Checkbox. Оцінка надана у рамках створення звітів у xlsx форматі",4,20,US-REP-006,"GAP: Odoo Community не має вбудованих інструментів для ABC/XYZ аналізу. Це повністю кастомна розробка.    Ризик: Необхідно чітко погодити з бізнесом методику розрахунку та межі для кожної категорії (напр., A - 80% доходу, B - 15%, C - 5%), оскільки від цього залежить результат аналізу.",Не реалізовано,MVP,,,
,12. Звітність та Аналітика,Звіти по Складу,Звітність / Склад,"stock, stock_account",Формування операційних звітів для контролю товарних запасів.,Критично,Стандартний функціонал,"Використовувати стандартні звіти та інструменти Odoo:  Поточні залишки: Меню ""Звітність -> Запаси"".  Оборотно-сальдова відомість: Звіт ""Рух товарів"" (Product Moves).  Терміни придатності: Фільтрація за полем ""Дата закінчення терміну"" в меню ""Партії/Серійні номери"". Оцінка надана у рамках створення звітів у xlsx форматі","0,5",0,US-REP-007,"GAP: Відсутній. Всі необхідні інструменти є ""з коробки"".    Коментарі: Ключова задача тут — не розробка, а навчання товарознавця ефективно користуватися існуючими потужними інструментами Odoo, зокрема, правильно застосовувати фільтри та групування.",Не реалізовано,MVP,,,
,12. Звітність та Аналітика,Звіти по Персоналу,Звітність / Персонал,"hr_attendance, termi_operations ",Формування звітів по робочому часу та ефективності персоналу.,Критично,Розробка," Прихід/ухід, табель: Використовувати стандартні звіти модуля hr_attendance.  Надані послуги, завантаженість: Розробити кастомні звіти (Pivot/List), які будуть аналізувати дані з кастомної моделі booking.appointment та пов'язувати їх з співробітниками та сумами продажів. Оцінка надана у рамках створення звітів у xlsx форматі",4,16,US-REP-008,"GAP: Базовий облік робочого часу покривається стандартом. Однак аналіз ефективності (кількість/сума послуг на спеціаліста, % завантаженості) потребує розробки кастомних звітів, оскільки стандартні модулі HR та Продажів не пов'язані таким чином.    Ризик: Для розрахунку фінансових показників ефективності (сума продажів на спеціаліста) потрібна надійна логіка зв'язку між бронюванням та фінальним чеком.",Не реалізовано,MVP,,,
,13. CRM та Маркетинг,Воронки продажів (CRM),Воронки продажів,crm,Створення та управління воронками продажів (kanban-дошка) з можливістю переміщення лідів/угод між етапами.,Важливо,Стандартний функціонал,Використовувати стандартний модуль crm. Налаштувати етапи воронки продажів (crm.stage) відповідно до бізнес-процесу компанії. Налаштувати права доступу для менеджерів та адміністраторів.,2,0,UC-FR6.11.1,"GAP: Відсутній. Це базовий функціонал Odoo CRM. Ризик: Операційний. Якщо етапи воронки будуть нелогічними або занадто складними, персонал не буде коректно вести ліди, що призведе до неякісних даних та аналітики.",Базовий функціонал,MVP,,,
,13. CRM та Маркетинг,Воронки продажів (CRM),Воронки продажів,crm,"Перегляд базової аналітики по воронці (конверсія, суми на етапах).",Важливо,Стандартний функціонал,"Використовувати стандартні звіти та дашборди модуля CRM. Вони дозволяють аналізувати кількість та суми угод по етапах, менеджерах та інших розрізах.",1,0,UC-FR6.11.1,"GAP: Відсутній. Стандартні інструменти (Pivot, Graph, Dashboard) повністю покривають цю потребу.",Базовий функціонал,MVP,,,
,13. CRM та Маркетинг,Шаблони комунікацій,Шаблони відповідей,"discuss, mail",Створення та управління бібліотекою шаблонів відповідей (скриптів) для комунікації з клієнтами.,Важливо,Стандартний функціонал,Або невелика доробка або стандартний функціонал,2,2,UC-FR6.11.2,,Не реалізовано,Потрібно уточнити вимогу,"Блокер - ситуація з CRM системою. Потрібно об`єднувати всі потоки з соцмереж в Odoo, розглядали варіант модулю Helpcrunch. Тому потрібно орієнтуватися на модуль Discuss, є можливість того, що там вже цей функціонал є",,
,13. CRM та Маркетинг,Маркетингова аналітика,Маркетингова аналітика,"base, contacts","Створення динамічних сегментів клієнтів на основі різних критеріїв (історія покупок, демографія, джерело).",Важливо,Стандартний функціонал,"Використовувати стандартний розширений пошук (Фільтри -> Додати фільтр) у списку контактів або угод. Створені фільтри можна зберігати в ""Обраному"" для повторного використання. Це і є механізм динамічної сегментації.",2,0,UC-FR6.11.3,GAP: Відсутній. Гнучка система фільтрації Odoo повністю покриває цю потребу. Ризик: Юзабіліті. Створення складних фільтрів вимагає певних навичок від користувача. Потрібно провести навчання для маркетологів.,Базовий функціонал,MVP,,,
,13. CRM та Маркетинг,Маркетингова аналітика,Маркетингова аналітика,"crm, sale, termi_reporting ","Формування комплексних маркетингових звітів (напр., конверсія за джерелами, вартість залучення, LTV).",Важливо,Розробка,"Створити кастомний дашборд або звіт, який буде об'єднувати дані з модулів CRM (crm.lead), Продажі (sale.order), Бухгалтерія (account.move для витрат на маркетинг) та UTM. Це може бути реалізовано через SQL View для швидкодії.Оцінка надана у рамках створення звітів у xlsx форматі",4,24,UC-FR6.11.3,"GAP: Істотний. Стандартні звіти Odoo не об'єднують дані з різних модулів для розрахунку складних метрик як LTV або CAC. Це вимагає розробки кастомного аналітичного інструменту. Ризик: Точність звіту залежить від повноти даних (напр., чи всі витрати на маркетинг внесені в систему).",Не реалізовано,MVP,,,
,13. CRM та Маркетинг,Маркетингова аналітика,Маркетингова аналітика,"crm, utm","Автоматичне відстеження джерел лідів/звернень (включаючи UTM-мітки: source, medium, campaign).",Важливо,Стандартний функціонал,"Встановити та налаштувати стандартний модуль utm. Він автоматично створює записи про джерела, кампанії та середовища та прив'язує їх до лідів/угод.",1,0,UC-FR6.11.3,"GAP: Відсутній. Odoo має потужний вбудований механізм для UTM-трекінгу. Ризик: Організаційний. Якщо маркетинговий відділ не буде послідовно та коректно використовувати UTM-мітки у всіх рекламних посиланнях, система не зможе збирати дані, і аналітика буде неповною.",Не реалізовано,MVP,Має закритися модулем Helpcrunch,,
,13. CRM та Маркетинг,Маркетингові розсилки,Маркетингові розсилки,mass_mailing,"Створення та надсилання цільових Email-розсилок на основі сегментів клієнтів з відстеженням ефективності (відкриття, кліки).",Важливо,Стандартний функціонал,"Встановити та налаштувати стандартний модуль ""Email-маркетинг"" (mass_mailing). Він повністю інтегрований із контактами та їх сегментацією.",1,0,UC-FR6.11.4,"GAP: Відсутній.  Ризик: Технічний. Для забезпечення високої доставляємості листів потрібно коректно налаштувати поштові записи на домені (SPF, DKIM, DMARC). Без цього листи можуть потрапляти у спам.",Не реалізовано,MVP,,,
,14. Податки та Фіскалізація,Налаштування податків,Податки та Фіскалізація,"account, point_of_sale","Налаштування базових ставок податків (ПДВ, акциз) та їх автоматичне застосування до товарів/послуг в POS.",Критично,Стандартний функціонал,"Використовувати стандартний механізм account.tax. Створити необхідні податки (""ПДВ 20%"", ""Акциз 5%"", ""Без ПДВ"") та прив'язати їх до відповідних товарів у каталозі. Odoo автоматично розрахує суму податку в POS.",1,0,UC-FR6.3.16,"GAP: Відсутній для розрахунку. Odoo має дуже гнучкий податковий рушій.  Коментар: Це чиста конфігураційна задача. Основна складність полягає не в налаштуванні, а в правильному початковому заповненні податкових ставок для всього каталогу товарів.",Базовий функціонал,MVP,,,
,14. Податки та Фіскалізація,Інтеграція з ПРРО,Податки та Фіскалізація,product,"Управління специфічними фіскальними атрибутами (фіскальна група, код УКТЗЕД для акцизу) для товарів, необхідними для інтеграції з ПРРО (напр., Checkbox) та 1С.",Критично,Кастомізація,Закривається інтеграцією з Checkbox,2,4,UC-FR6.3.16,"GAP: Критичний розрив. Odoo ""з коробки"" не має концепції ""фіскальних груп"" (А, Б, В...) або поля для УКТЗЕД, які вимагає API українських ПРРО для коректної реєстрації чеків з різними типами товарів.  Ризик: Без цих спеціалізованих полів, які надає модуль інтеграції, буде неможливо автоматично фіскалізувати продажі згідно з законодавством, що є блокером для запуску. Вибір неякісного модуля інтеграції, що не підтримує ці поля, призведе до необхідності додаткової розробки.",Не реалізовано,MVP,,,
,15. Інтеграції,Інтеграція з 1C,Інтеграція з 1C,termi_1с_integration ,Розробити технічну документацію на інтеграцію з 1С 7.7.,Критично,Розробка,"Створити детальне ТЗ для партнера по 1С, що описує всі об'єкти, поля, формати та логіку обміну.",16,,N/A (Бухгалтерський обмін),"Найвищий ризик інтеграції. 1С 7.7 — застаріла платформа, що ускладнює розробку. Критично важливо чітко розмежувати відповідальність та визначити, яка система є ""майстром"" для кожного довідника (напр., Odoo для клієнтів, 1С для плану рахунків). Потрібен детальний протокол обміну та логування помилок.",Не реалізовано,Потрібно уточнити вимогу,"Вже не пам`ятаю, які вимоги. Цей пункт блокує налаштування складів та товарів, потрібно реалізовувати інтеграцію та налаштовувати модуль склад одночасно. Хоча, якщо пам`ятаю вірно, суть в інтеграції це контрагенти та номенклатура.",,
,15. Інтеграції,Інтеграція з Binotel,Інтеграція з Binotel,https://apps.odoo.com/apps/modules/15.0/binotel_connect,Інтеграція з телефонією для спливаючих карток клієнта при вхідному дзвінку та логування дзвінків.,Важливо,Придбання модуля_налаштування,Придбати та налаштувати модуль,2,,"UC-FR6.1.1, UC-FR6.11.1",Придбати та налаштувати модуль. Вже є на 18,Не реалізовано,Stage 1,Stream Telecom/Binotel,,
,15. Інтеграції,Інтеграція з SMS-шлюзом,українським SMS-шлюзом для можливості надсилати повідомлення з системи,https://apps.odoo.com/apps/modules/18.0/turbo_sms,Інтеграція з українським SMS-шлюзом для можливості надсилати повідомлення з системи.,Бажано,Придбання модуля_налаштування,"Купити, встановити та налаштувати модуль.",2,4,"UC-FR6.1.10, UC-FR6.11.4","Ризик: Вартість SMS. Потрібно налаштувати шаблони та тригери так, щоб уникнути зайвих або помилкових розсилок. Також потрібно перевірити надійність доставки повідомлень через обраний шлюз.",Не реалізовано,Stage 1,Turbo SMS,,
,15. Інтеграції,Інтеграція з Helpcrunch,Інтеграція з Helpcrunch,https://apps.odoo.com/apps/modules/18.0/helpcrunch,Інтегрувати онлайн-чат (Helpcrunch) з Odoo для створення лідів та комунікації з клієнтами.,Критично,Придбання модуля_налаштування,"Купити, встановити та налаштувати модуль.",1,2,"UC-FR6.11.1, UC-FR6.11.2",Ризик: Готовий модуль може не повністю покривати всі бажані сценарії або мати конфлікти з іншими кастомними розробками. Потребує тестування на stage-середовищі перед встановленням на Production.,Не реалізовано,Stage 1,,,
,15. Інтеграції,Інтеграція з веб-сайтом,Інтеграція з веб-сайтом(Wordpress),termi_website_integration ,Розробити технічну документацію по односторонній інтеграції з веб-сайтом(Wordpress).,Бажано,Дослідження,"Проаналізувати можливі методи інтеграції. Розробити документ, що описує рекомендований підхід, дані для синхронізації (напр., форми зворотного зв'язку -> ліди в Odoo) та оцінку реалізації.",4,0,UC-FR6.11.3,Задача полягає лише в дослідженні та створенні ТЗ. Ризик самої реалізації (не входить в оцінку) полягатиме у підтримці стабільності роботи інтеграції при оновленнях Wordpress або його плагінів.,Не реалізовано,Nice to have,Відклали на деякий час.,,
,15. Інтеграції,Інтеграція з Checkbox (ПРРО),Інтеграція з Checkbox,"Інтеграція з системою https://kitworks.systems/shop/integratsiia-z-sistemoiu-checkbox-161#attr=839,753, https://kitworks.systems/shop/integratsiia-z-sistemoiu-checkbox-dlia-pos-37#attr=846,758 ",Забезпечити фіскалізацію продажів та повернень через ПРРО Checkbox.,Критично,Придбання модуля_налаштування,"Купити, встановити та налаштувати модулі. Інтеграція з системою https://kitworks.systems/shop/integratsiia-z-sistemoiu-checkbox-161#attr=839,753, https://kitworks.systems/shop/integratsiia-z-sistemoiu-checkbox-dlia-pos-37#attr=846,758 ",4,8,"UC-FR6.3.16, UC-FR6.1.5","Критична інтеграція для легальної роботи. Ризик: Нестабільність роботи сервісу Checkbox або помилки в модулі інтеграції можуть зупинити всі фіскальні продажі. Потрібне ретельне наскрізне тестування всіх сценаріїв (продаж, повернення, Z-звіт) на stage-середовищі.",Не реалізовано,MVP,,,
,15. Інтеграції,Інтеграція з банківськими терміналами,Інтегрція з терміналами ПриватБанку,"https://kitworks.systems/shop/integratsiia-z-bankivskimi-terminalami-paylink-256#attr=906,907 ",Інтеграція POS з банківськими терміналами для безшовної оплати карткою.,Критично,Придбання модуля_налаштування,"Купити, встановити та налаштувати модуль.https://kitworks.systems/shop/integratsiia-z-bankivskimi-terminalami-paylink-256#attr=906,907 ",2,8,"UC-FR6.3.3, UC-FR6.3.4","Ризик: Надійність зв'язку між POS-комп'ютером та фізичним терміналом. Будь-який збій (мережа, драйвери) зупиняє процес оплати. Потрібно забезпечити стабільне мережеве підключення та протестувати всі сценарії (успішна оплата, скасування, відсутність зв'язку).",Не реалізовано,MVP,,,
,15. Інтеграції,Інтеграція з АСКД,Інтеграція з АСКД,termi_ascd_integration ,Розробити технічну документацію та реалізувати двосторонню інтеграцію з сервером СКД S-Meatronics.,Критично,Розробка,"Створити детальне ТЗ для партнера з чітким вказанням того, які дані нам небхідно отримувати та надавати.",14,,"UC-FR6.3.8, UC-FR6.1.4, UC-FR6.3.12","Критична залежність від стороннього розробника та якості їх API. Потрібно заздалегідь отримати доступ до тестового середовища АСКД та документації. Ризики: затримки з боку партнера, нестабільна робота інтеграції, що може паралізувати білінг та контроль доступу.",Не реалізовано,Зміна вимог,Інтеграція з новими турнікетами ZKBioTime,,
,16. Міграція даних,Підготовка та виконання,"Міграція даних з поточних систем (B52 - відділення Придніпровськ, 1С - номенклатура та довідники, KeyCRM).",-,"Розробити технічну документацію по реалізації коректної очистку та міграції даних з B52 - обидва відділення, 1С - номенклатура та довідники, KeyCRM.",Критично,Дослідження,Критично важливо перед тим як починати міграцію даних чітко описати завдання та етапи міграції,10,4,N/A (Проєктна задача),"Ризик №1 будь-якого ERP-проєкту. ""Сміття на вході — сміття на виході"". Погана якість даних у старих системах може повністю знецінити нову систему. Потрібно запланувати окремий етап очищення та валідації даних ПЕРЕД фінальною міграцією.",Не реалізовано,MVP,,,
,17. Тестування та Забезпечення Якості,Планування тестування,Стратегія тестування,-,"Розробка загальної стратегії та плану тестування. Визначення видів тестування, критеріїв успішності та відповідальних осіб.",Критично,Дослідження,"Створення документа ""Стратегія тестування"", що описує підходи до функціонального, інтеграційного, регресійного тестування та UAT.",8,0,-,"GAP: Відсутність формального планування тестування. Ризик: Хаотичне тестування без чітких цілей, пропуск критичних помилок. Без стратегії неможливо зрозуміти, чи система дійсно готова до запуску.",Не реалізовано,MVP,,,
,17. Тестування та Забезпечення Якості,Функціональне тестування,Тестування розробок,-,"Тестування кожної розробленої або кастомізованої функції на відповідність вимогам з Use Cases (наприклад, чи коректно працює логіка нарахування бонусів).",Критично,Дослідження,Проведення тестування розробниками (Unit tests) та QA-спеціалістом/БА на тестовому середовищі після завершення кожної задачі. Проведення глобального тестування наскрізної логіки. ,20%+-,20%+-,Усі,"Ризик: Випуск в роботу функціоналу, що не відповідає початковим вимогам або містить базові помилки.",Не реалізовано,MVP,,,
,17. Тестування та Забезпечення Якості,Користувацьке тестування (UAT),Приймальне тестування,-,"Проведення User Acceptance Testing (UAT) силами ключових користувачів (адміністратори рецепції, лікарі, товарознавці, бухгалтери).",Критично,Дослідження,Створення спрощених тест-кейсів для користувачів. Організація та проведення сесій UAT. Збір зворотного зв'язку та фіксація помилок/пропозицій. Отримання формального підтвердження про готовність системи до запуску.,24,8,Усі,"Ризик: Найвищий ризик проєкту. Система, що ідеально працює з точки зору розробників, може бути відторгнута персоналом через незручність або невідповідність реальним робочим процесам. Виправлення таких проблем після запуску є найдорожчим.",Не реалізовано,MVP,,,
,17. Тестування та Забезпечення Якості,Інтеграційне тестування,Наскрізні сценарії,-,"Тестування наскрізних бізнес-процесів, що зачіпають декілька модулів (напр., ""Онлайн-бронювання -> Прихід клієнта (АСКД) -> Надання послуги -> Оплата в POS з використанням бонусів -> Списання матеріалів зі складу"").",Критично,Дослідження,"Створення набору сценаріїв для E2E (end-to-end) тестування. Проведення тестування на stage-середовищі, що імітує реальні умови.",16,4,"WP-FR6.9.1, WP-FR6.9.2","Ризик: Система може працювати коректно на рівні окремих функцій, але ""розсипатись"" при виконанні повного бізнес-процесу. Наприклад, списання бонусів може не спрацювати разом з динамічною знижкою.",Не реалізовано,MVP,,,
,18. Навчання Користувачів,Підготовка матеріалів,База знань,-,"Створення інструкцій користувача (текстових та/або відео) для кожної ролі в системі (адміністратор рецепції, лікар, товарознавець, бухгалтер, маркетолог, керівник).",Дуже важливо,Дослідження,На основі затверджених Use Cases та результатів UAT бізнес-аналітик готує покрокові інструкції з скріншотами.,40,0,Усі,"Ризик: Після навчання інформація швидко забувається. Без інструкцій персонал буде постійно звертатись до підтримки з одними й тими самими питаннями, а нові співробітники не зможуть швидко увійти в курс справи.",Не реалізовано,MVP,,,
,18. Навчання Користувачів,Проведення навчання,Тренінги,-,Організація та проведення групових навчальних сесій для кожної ролі.,Критично,Дослідження,Складання графіку навчання. Проведення очних або онлайн тренінгів з демонстрацією системи та практичними завданнями.,24,0,Усі,"Ризик: Персонал буде використовувати систему неефективно, з помилками, що призведе до неякісних даних (напр., неправильно створені клієнти, помилки в інвентаризації). Це може призвести до прямого саботажу впровадження.",Не реалізовано,MVP,,,
,19. Розгортання та Запуск,План запуску,Go-Live,-,"Розробка детального покрокового плану переходу (Cutover Plan). Визначення послідовності дій, таймінгу та відповідальних під час фінальної міграції даних та запуску системи.",Критично,Дослідження,"Створення документа ""Cutover Plan"", що включає етапи ""заморозки"" старих систем, фінальної міграції даних, фінального тестування та офіційного старту роботи.",8,2,-,"Ризик: Хаос під час запуску, втрата даних, перевищення запланованого часу простою, що призводить до фінансових та репутаційних втрат.",Не реалізовано,MVP,,,
,19. Розгортання та Запуск,Підтримка після запуску,Go-Live,-,Надання інтенсивної підтримки користувачам у перші дні/тижні після запуску (Hypercare).,Критично,Розробка,"Призначення чергових спеціалістів (БА, розробник), які будуть оперативно вирішувати проблеми та відповідати на питання користувачів у перші дні роботи системи.",16,16,-,"Ризик: Неминучі дрібні проблеми та питання на старті можуть паралізувати роботу бізнесу, якщо не буде виділеної команди для їх негайного вирішення. ",Не реалізовано,MVP,,,
,Загальна сума:,,,,,,,,"465,1","1238,5",,,,,,,
,Загальна сума з тестуванням:,,,,,,,,"558,12","1486,2",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
